1,Альт-рок,"Альтернати́вный рок (также известен как альтернативная музыка, альт-рок или просто альтернатива; англ. alternative rock) — жанр рок-музыки, сформировавшийся из музыкального андеграунда 1980-х и ставший популярным в 1990-е и 2000-е годы. В данном случае слово «альтернатива» подразумевает антитезу мейнстримовой рок-музыке.",2023-03-02 00:21:14,2023-03-02 00:21:14
2,Фолк,"Фолк-музыка (от англ. folk music «народная музыка») — жанр популярной музыки, который развился на основе народной музыки в середине XX века в результате феномена фолк-ривайвлов (возрождение интереса к народной музыке), когда народная музыка начала распространяться среди массовой аудитории. В этой связи его иногда называют «музыкой фолк-ривайвла».",2023-03-02 00:21:16,2023-03-02 00:21:17
3,Инди-рок,"Инди-рок (англ. Indie rock, от англ. independent — независимый) — обобщающий термин для широкого диапазона музыкантов и стилей, объединённых причастностью к контркультуре и имеющих отношение к рок-музыке. Изначально термин «инди» использовался для обозначения независимых музыкальных лейблов, но впоследствии стал употребляться и по отношению к музыке, выпускавшейся на этих лейблах.",2023-03-02 00:21:17,2023-03-02 00:21:18
