1,MGMT,./img/bands/MGMT/MGMT.png,"MGMT (Эм Джи Эм Ти, прежнее название The Management) — американский музыкальный дуэт, рок-группа, основанная в Бруклине, Нью-Йорк, и состоящая из Эндрю ВанВингардена и Бена Голдвассера.",2023-03-02 00:20:03,2023-03-02 00:20:03
2,First Aid Kit,./img/bands/FirstAidKit/FirstAidKit.jpg,"First Aid Kit (с англ. - «аптечка первой помощи») — шведский фолк-дуэт сестёр Йоханны (р. 1990) и Клары (р. 1993) Сёдерберг. Они выросли в Энскеде, районе на юге Стокгольма, и начали сочинять песни в 2007 году, будучи подростками. В 2008 году благодаря загруженному на YouTube видео, в котором они перепели «Tiger Mountain Peasant Song» группы Fleet Foxes, их имя быстро распространилось в Интернете, и вскоре сёстры исполнили эту песню вместе с её авторами на концерте в Голландии.",2023-03-02 00:20:14,2023-03-02 00:20:14
3,The Killers,./img/bands/TheKillers/TheKillers.jpg,"The Killers (с англ. - Убийцы) — американская альтернативная рок-группа, образованная в 2001 году Брэндоном Флауэрсом и Дэйвом Кенингом. Название было взято из видеоклипа группы New Order «Crystal» (2001), где под таким именем выступает липовая группа. В музыке The Killers наиболее четко прослеживается влияние групп New Order, Duran Duran, U2 и Oasis.",2023-03-02 00:20:26,2023-03-02 00:20:26
